title,company,location,country,working model,salary,summary
"Healthcare & Life Sciences Business Development Specialist,...",Amazon.com Services LLC,New York ,USA,onsite,,"Bachelor’s degree or higher in Business, Economics, Computer Science, Engineering, Product Design/Development, or field related to the HCLS industry."
Junior Building Energy Researcher,Research Foundation of The City University of New...,New York ,USA,onsite,,At least one (1) year of experience with the design and construction of energy efficiency retrofit projects in existing buildings.
RAD Engineer,"JPMorgan Chase Bank, N.A.",New York ,USA,onsite,,"Working in the full development life cycle, i.e. requirements gathering, analysis, design, implementation, support of RAD application portfolio."
"Technical Sourcer, Product",Meta,New York ,USA,onsite,,"Within the Product pillar, the teams hiring for Sourcers are: Product Design, Product Marketing, Data Science, Data Engineering, Content Strategy, Product…"
Program Development Associate,Innovations for Poverty Action,New York ,USA,onsite,,"In this position the Program Development Associate will support BD staff and our country offices, gaining knowledge and skills in grant writing, the operations…"
Senior Design Strategist,"JPMorgan Chase Bank, N.A.",New York ,USA,onsite,,"5+ years of experience with user experience, service design, design thinking and/or design research.Excellent written and verbal communication skills,…"
Senior UX Researcher,Unity Technologies,New York ,USA,onsite,,"Past experience with facilitating design workshops.Plan, design, implement, and distill complex ideas into succinct thoughts and impactful storytelling for…"
Web Design Technologist,Avenues: The World School,New York ,USA,onsite,,Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally including sketch and Adobe Creative Suite).
Capgemini Invent- Design Technologist II,Capgemini Invent,New York ,USA,onsite,,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
Design Technologist,RISIRISA,New York ,USA,onsite,,"Experience with UI/UX design.You have a solid design and data visualization portfolio.As a member of RISIRISA’s design team, you will be joining an…"
"Creative Technologist, Creative Shop Labs",Meta,New York ,USA,onsite,,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
newDigital Senior Creative Technologist,Protiviti,New York ,USA,onsite,,"Knowledge of Agile design principles, design workflow, standards and UX best practices.Experience with design system engineering is a big plus."
Senior Design Technologist (Front End Developer),frog,New York ,USA,onsite,,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
Senior Design Technologist (Full Stack Developer),frog,New York ,USA,onsite,,Helped designers or product managers work through technical feasibility of design-choices during pre-development stages.Led technology on a project team.
Web Design Technologist,Avenues: The World School,New York ,USA,onsite,,Storytelling and visual design are your hallmark strengths and you are an expert user of design software (ideally including sketch and Adobe Creative Suite).
Capgemini Invent- Design Technologist II,Capgemini Invent,New York ,USA,onsite,,"As a Design Technologist, you’ll use the latest tools and techniques to take projects from idea to reality.Worked on 1+ production applications using a major…"
Design Technologist,RISIRISA,New York ,USA,onsite,,"Experience with UI/UX design.You have a solid design and data visualization portfolio.As a member of RISIRISA’s design team, you will be joining an…"
"Creative Technologist, Creative Shop Labs",Meta,New York ,USA,onsite,,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
newDigital Senior Creative Technologist,Protiviti,New York ,USA,onsite,,"Knowledge of Agile design principles, design workflow, standards and UX best practices.Experience with design system engineering is a big plus."
Senior Design Technologist (Front End Developer),frog,New York ,USA,onsite,,"As a Senior Design Technologist focusing on Front End Development, you'll use the latest tools and techniques to take projects from idea to reality."
Senior Design Technologist (Full Stack Developer),frog,New York ,USA,onsite,,Helped designers or product managers work through technical feasibility of design-choices during pre-development stages.Led technology on a project team.
newGlobal Cleanliness Learning Facilitator II (JFK),Delta,New York ,USA,onsite,,"Degree or experience with instructional design methodology, adult learning theory/education, and learning industry best practices."
Senior Meetings Services Assistant,United Nations,New York ,USA,onsite,,"As lead Meetings Services Assistant, ensures that all logistic arrangements, required services (including accessible services), and personnel are available for…"
Part-Time Virtual Social-Emotional Learning Teacher,Together Education,New York ,USA,onsite,,"We're looking for a Part-Time Virtual Social-Emotional Learning Teacher who will lead student, educator, and professional sessions helping individuals identify…"
Curriculum Developer/Trainer and Lead LMS Administrator,Research Foundation of The City University of New...,New York ,USA,onsite,,Demonstrated implementation of instructional design methodologies in developing courses and related classroom materials.
Pedagogical Specialist,Columbia University,New York ,USA,onsite,,Manages the documentation and digitization of all curricular modules to ensure effective development and maintenance of DDC’s instructional archive.
Part-Time Virtual Social-Emotional Learning Teacher,Together Education,New York ,USA,onsite,,"We're looking for a Part-Time Virtual Social-Emotional Learning Teacher who will lead student, educator, and professional sessions helping individuals identify…"
newDirector of Curriculum and Instruction for Columbia Universi...,Columbia University,New York ,USA,onsite,,Develops and leads facilitated discussions related to service member and veteran transition.In addition to overseeing several of the Center’s signature online…
Training Lead - FSI,"Amazon Web Services, Inc.",New York ,USA,onsite,,"8+ years of experience in training, instructional design, and developing learning content.Industry certifications in instructional design, curriculum…"
Senior Meetings Services Assistant,United Nations,New York ,USA,onsite,,"As lead Meetings Services Assistant, ensures that all logistic arrangements, required services (including accessible services), and personnel are available for…"
Director of Academic Administration,The City University of New York (CUNY),New York ,USA,onsite,,"Ensure instructional personnel actions are appropriately provided to the Office of Human Resources in preparation for the Committee on Faculty, Staff, and…"
newInstructional Designer,NYU Langone,New York ,USA,onsite,,"To qualify you must have a Bachelors degree and/or Masters degree required with preferred coursework in instructional systems, instructional design, adult…"
Field Operations Instructional Designer,Augury,New York ,USA,onsite,,"Expertise in video editing, and online instructional design.Evaluate Field Operations training needs by working closely with functional leads to address gaps."
"Sr. Program Manager, Revenue Onboarding",Outreach,New York ,USA,onsite,,3-5 years of online training experience (delivery and instructional design a plus).Design a dynamic learning experience that directly leads to our ongoing…
"Lead, Education, Saks New York",Chanel,New York ,USA,onsite,,Provide leadership and direction on training methodology and instructional delivery to ensure learning effectiveness.
"Associate, Digital Product Designer",KPMG,New York ,USA,onsite,,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
UI/UX Designer,Accrete.AI,New York ,USA,onsite,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,New York ,USA,onsite,,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
Lead Product Designer,Materialize,New York ,USA,onsite,,"Experience with fit-and-finish interaction design: clickables, animations, etc.In addition to designing the end-to-end experience of the product, the lead…"
UI/UX Designer,Accrete,New York ,USA,onsite,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
Sr. UX Designer,TA Digital,New York ,USA,onsite,,"Lead communication and collaboration between product interaction designers, visual designers, content strategists, and copywriters to ensure alignment of UX…"
"Associate, Digital Product Designer",KPMG,New York ,USA,onsite,,"Familiar with Agile and Lean UX methodologies, interaction design (IxD), user experience design (UX), visual experience design (VX), branding, content strategy,…"
UI/UX Designer,Accrete.AI,New York ,USA,onsite,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
"Conversational AI and VUI Designer, Consultant - Applied Art...",Deloitte,New York ,USA,onsite,,"Bachelor's degree in linguistics, English/creative writing/literatures, human-computer interaction, interaction design, or a related content or design field."
Lead Product Designer,Materialize,New York ,USA,onsite,,"Experience with fit-and-finish interaction design: clickables, animations, etc.In addition to designing the end-to-end experience of the product, the lead…"
UI/UX Designer,Accrete,New York ,USA,onsite,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
Sr. UX Designer,TA Digital,New York ,USA,onsite,,"Lead communication and collaboration between product interaction designers, visual designers, content strategists, and copywriters to ensure alignment of UX…"
Product Designer,Duolingo,New York ,USA,onsite,,Work collaboratively with other designers to develop and expand product design patterns.Help engineers and product managers define both the long-term strategy…
Product Designer,Runway AI,New York ,USA,onsite,,Design experience working with engineering teams shipping products.Experience delivering and iterating product features and close collaboration with…
newVisual Product Designer,Publicis Sapient,New York ,USA,onsite,,"We are multiskilled thinkers, computational designers, environmental designers, researchers, and architects.We help unlock value through a start-up mindset and…"
Product Designer II,Xandr,New York ,USA,onsite,,"Xandr, its products and its executives have received several prestigious awards.The Product Design Team is responsible for delivering products that will shape…"
Product Designer,Fitch Group,New York ,USA,onsite,,Mastery of product design tools such as Figma and Sketch.5+ years of experience working as a UX/UI designer.Contribute components to the Central Design System…
newProduct Designer,Go2Andaman,New York ,USA,onsite,,"Craft every detail of new product features, from idea to UX to pixel-perfect execution.Design product concepts that balance vision, craft, speed, and business…"
Product Designer,Monument,New York ,USA,onsite,,Experience collaborating with engineers to launch and iterate on mobile products.You'll split your time across user research and product design.
Product Designer II,AT&T,New York ,USA,onsite,,"Xandr, its products and its executives have received several prestigious awards.The Product Design Team is responsible for delivering products that will shape…"
Contractor - Graphic Designer - On Product Marketing,American Eagle Outfitters,New York ,USA,onsite,,Support the Sr Designer in the creation of all on-product marketing from concept to delivery.TEMP POSITION TITLE: Contractor Graphic Designer - On-Product…
Junior Product Designer,Copilot,New York ,USA,onsite,,Working closely with our product team and contributing to the product’s roadmap.➤ 1+ years of practical experience of product design.
Product Designer,Wework,New York ,USA,onsite,,"We’re looking for a self-starting product designer fluent in their design craft, who has an infectiously positive attitude to create high-impact work across our…"
newSenior Product Designer ﹣ SNKRS / s23NYC,Nike,New York ,USA,onsite,,"Strong understanding of product thinking, interaction design and execution.Working closely and collaboratively with a cross-functional team of producers,…"
UX Researcher,Morgan Stanley,New York ,USA,onsite,,"Continue evolving our collaboration with designers, technologists, product managers, and marketers to translate insights that inform execution and pipeline…"
newUI / UX Designer,Invonto,New York ,USA,onsite,,Must be a creative designer that can transform software requirements into intuitive user experiences.This is a direct-hire full-time remote working position.
Product Designer - Corporate - IT - Hybrid Full Time,Mount Sinai,New York ,USA,onsite,,Experienced: 0-3+ years of direct experience as a product designer of enterprise or consumer software products.You have advanced social-emotional skills.
Product Designer Member,Bread Financial,New York ,USA,onsite,,"Experience working on both B2B and B2C products.Actively collaborate with engineers, QA specialists, product managers, content strategists, customer support…"
Product Designer,Tubular Labs,New York ,USA,onsite,,"A portfolio of previous design projects that show outstanding product design skill.Work directly with product managers, engineering and other stakeholders on…"
Mobile Product Designer / Senior Mobile Product Designer,Amex,New York ,USA,onsite,,"Collaborate with your fellow designers, UX writers, UX researchers, product managers, and engineers to translate product requirements into useful and usable…"
Product Designer,Carbon Five,New York ,USA,onsite,,"You will work on a single cross-disciplinary product development team—engineers, designers, and product managers—working full-time, side-by-side with one of our…"
Head of Product Development & Design,Amazon.com Services LLC,New York ,USA,onsite,,"Lead key product development milestone events to ideate, develop and execute product vision.You are responsible for brand continuity, capturing market trends…"
UX designer,InviteReferrals,New York ,USA,onsite,,Creative UI/UX designer. must have Photoshop skills html/css added…
UX Designer,Société Générale,New York ,USA,onsite,,Propose and iterate on a product UX and design.1+ year experience in product co-creation as a design professional.You need to demonstrate the ability to.
Senior Product Designer,Waybridge,New York ,USA,onsite,,"As designers, we work closely with product and engineering to ensure the scope of what we design is flexible, powerful, easy to use, and shippable."
Senior Product Designer,Aura,New York ,USA,onsite,,"You'll need a full range of Product Design skills, including UX, UI, organization, system thinking, and prototyping skills to attack these challenges."
Product Designer,nTopology Inc,New York ,USA,onsite,,"This role will collaborate closely with product designers, developers, product managers, and stakeholders in building a design tool for mechanical engineers and…"
Junior UX Designer,Brilliant Experience,New York ,USA,onsite,,Brilliant Experience’s team works directly with clients to make research-driven and human-centered product and service design recommendations.
"Associate, UX Designer",KPMG,New York ,USA,onsite,,"Strong understanding of user experience design related deliverables such as information architecture, prototyping, workflow ideation and pixel design…"
Product Designer,Headway.co,New York ,USA,onsite,,Partner with product and engineering to build products from zero to one and help evolve our product vision.
Product Designer - Portal,Portal,New York ,USA,onsite,,"Experience designing for hardware products (TV, smart displays, etc.) and new interaction models.You have a balance of interaction design, visual design, and…"
Product Designer,Headway.co,New York ,USA,onsite,,Partner with product and engineering to build products from zero to one and help evolve our product vision.
Head of Product and Design,Rowan,New York ,USA,onsite,,Lead all product design and development activities.Create product roadmap and process to ensure timely and on trend and on brand design and builds out product…
newUX Designer,Microsoft,New York ,USA,onsite,,"Experience designing for a B2B SaaS product, digital advertising solutions or enterprise products.Research and present competitive user experiences to product…"
Senior Product Designer,Valon Mortgage,New York ,USA,onsite,,"5+ years of experience with product design.Experience working within the context of digital products.We’re a small, tight-knit team of product designers and…"
"Senior Product Designer, Membership & Journey NEW YORK, NYPR...",Tonal,New York ,USA,onsite,,A confident interaction designer; interested in finding simple solutions to complex problems.Give constructive and useful feedback to other designers to raise…
"SR Product Designer, Maps",Apple,New York ,USA,onsite,,"They will have strong communication skills as the position requires working closely with other designers, engineering, product marketing, and presenting to…"
Product Designer,Notion,New York ,USA,onsite,,"Craft every detail of new product features, from idea to UX to pixel-perfect execution.Design product concepts that balance vision, craft, speed, and business…"
Product Designer,Glassview Media,New York ,USA,onsite,,The world's leading brands and their agencies use GlassView Advertising Exchange (GvX) to drive engagement for their original brand content on premium websites.
"newAssociate, Digital Product Designer",KPMG,New York ,USA,onsite,,"Assess and design products in line with usability standards and heuristic best practices, as dictated by the need."
UI/UX Designer,CKM Analytix,New York ,USA,onsite,,Develop wireframes in Balsamiq to convey early ideas for products and client deliverables.Ensure our products adhere to accessibility standards and that our…
UX Lead Designer,Morgan Stanley,New York ,USA,onsite,,"Strategize and execute the product vision by being heavily involved in the end-to-end product design process.Coach junior, mid, and senior level designers."
"newSenior Technical Recruiter, Product Design",DataDog,New York ,USA,onsite,,"Product training to develop an in-depth understanding of our product and space.The Technical Recruiting team at Datadog is responsible for scaling our Product,…"
Senior Product Designer,Amun 21Shares,New York ,USA,onsite,,"Aptitude for (and ideally, some experience with) mentoring junior product designers.Experience working directly with product managers, engineers, and…"
Senior UI/UX Designer,Konrad,New York ,USA,onsite,,"Mentor designers by providing clear design guidance and actionable suggestions.Lead design research, ideation and creation of digital interfaces across…"
Senior Product Designer (Teamstand),"D. E. Shaw & Co., L.P.",New York ,USA,onsite,,The senior product manager will oversee design efforts across Teamstand’s product and brand.
UX Product Designer,ION,New York ,USA,onsite,,"Knowledge of, and strong demonstrated interest in, global financial markets and financial products.You will work in a customer-facing environment solving…"
newSenior Product Designer,Klarna,New York ,USA,onsite,,"As a designer, you will oversee the design vision and execution for one of the problem space teams and work closely with product managers, engineers, designers,…"
newVP UX/UI Designer,"JPMorgan Chase Bank, N.A.",New York ,USA,onsite,,"Significant experience working with Adobe Suite products, particularly Illustrator.6+ years relevant experience designing engaging digital products and/or…"
Senior Product Designer,Wunderman Thompson,New York ,USA,onsite,,"You are a highly proficient product designer who can synthesize and translate abstract and complex concepts into simple, thoughtful product solutions that solve…"
"Senior Product Designer, US",Chainalysis,New York ,USA,onsite,,You feel fully confident collaborating with product managers and engineers to set the long and short term roadmap of the product.
Head of Product and Design,Rowan,New York ,USA,onsite,,Lead all product design and development activities.Create product roadmap and process to ensure timely and on trend and on brand design and builds out product…
newCuratorial Assistant,The City University of New York (CUNY),New York ,USA,onsite,,"Assists exhibit designers, artists, and curators in the preparing and installing works for viewing; serves as liaison to tradespeople and others involved in…"
newAssociate CAD Artist,Talbots,New York ,USA,onsite,,Associate CAD Artist is responsible for executing technical print packages for overseas factory pass off and works closely with the Manager of CAD to assist in…
newTechnical Artist / 3D Generalist,Invonto,New York ,USA,onsite,,"3+ years of experience as technical artist creating realistic characters, environments, virtual spaces, and 3D objects."
"Trends and Future Forecaster, Innovation + Market Intelligen...",Spotify,New York ,USA,onsite,,"As such, we are seeking an “ambidextrous” individual who can move fluidly between their left and right brain to balance user and market research, creative…"
Technical Recruiter,Spotify,New York ,USA,onsite,,Be responsible for the full life cycle technical recruitment for our engineering and analytics organizations.Collaborate and share knowledge and practices with…
newTechnical Artist / 3D Generalist,Invonto,New York ,USA,onsite,,"3+ years of experience as technical artist creating realistic characters, environments, virtual spaces, and 3D objects."
newAssociate CAD Artist,Talbots,New York ,USA,onsite,,Associate CAD Artist is responsible for executing technical print packages for overseas factory pass off and works closely with the Manager of CAD to assist in…
"Trends and Future Forecaster, Innovation + Market Intelligen...",Spotify,New York ,USA,onsite,,"As such, we are seeking an “ambidextrous” individual who can move fluidly between their left and right brain to balance user and market research, creative…"
"Operations Program Manager, Music Labels, YouTube",YouTube,New York ,USA,onsite,,"You will collaborate with teams of music publishers, record labels, collection societies, and artists to help develop businesses and content on our platform."
Production Coordinator- Gramercy,Live Nation,New York ,USA,onsite,,Advance technical and Hospitality details for shows/events along with the Production Manager.Must Ensure positive and creative environment for the Production…
Graphic Artist,itandi group,New York ,USA,onsite,,Candidates will need to provide technical direction and scheduling information to related production groups and will be held accountable for the technical…
AEM Technical Consultant,Adobe,New York ,USA,onsite,,CSEs are assigned as a designated technical operation advisor to 5 to 7 customers who are using Adobe Experience Manager and other digital marketing products.
"Beta Operations Manager, Customer Success",Square,New York ,USA,onsite,,Knowledge of beta management workflows and the technical aspects preferred.Experience with data governance initiatives (business and technical metadata and…
Customer Experience Architect,Adobe,New York ,USA,onsite,,"Conduct business and technical discovery with customers.Digital marketing is advancing at a dizzying pace and companies are turning to the Adobe, the leader in…"
2D lead artist,ARTJAIL,New York ,USA,onsite,,"Clearly recognizable talent for creative, artistic and technical pursuits.The lead is responsible for the overall quality, consistency and technical execution…"
newTechnical Program Manager - Square eCommerce,Square,New York ,USA,onsite,,"So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book…"
"Manager, Initiatives, Procure to Pay",Spotify,New York ,USA,onsite,,"Assist in defining project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility on an as needed basis."
"newCustomer Success Manager, Document Cloud",Adobe,New York ,USA,onsite,,Strong and proven track record of successfully managing customer relationships and technical projects.Customer Success Managers (CSM) own the post-sales…
"Operations Program Manager, Music Labels, YouTube",YouTube,New York ,USA,onsite,,"You will collaborate with teams of music publishers, record labels, collection societies, and artists to help develop businesses and content on our platform."
"Product Designer, Online Checkout",Square,New York ,USA,onsite,,"You will also partner with product and engineering teams to set a long-term design vision for how we extend technical capabilities to new internal, developer,…"
Graphic Artist,itandi group,New York ,USA,onsite,,Candidates will need to provide technical direction and scheduling information to related production groups and will be held accountable for the technical…
Line Producer for CNN Courageous (Temporary),WarnerMedia,New York ,USA,onsite,,"You're an organized, disciplined industry vet with in-depth knowledge of scheduling and budgeting and all of the physical and technical processes of filmmaking."
African American Dancers,Ruddur Dance,New York ,USA,onsite,,"Applicants should be prepared to work at a high technical and artistic level, be a responsible group member, and be open to working collaboratively with fellow…"
Technical Account Manager,Live Nation,New York ,USA,onsite,,"Support technical developments, upgrades, and migrations in line with both internal and external business and technical roadmaps in partnership with Product…"
NFT Project Manager,LiveArt,New York ,USA,onsite,,"Execute the NFT strategy by coordinating with internal and external artists, storytellers, and any other stakeholders required."
AEM Technical Consultant,Adobe,New York ,USA,onsite,,CSEs are assigned as a designated technical operation advisor to 5 to 7 customers who are using Adobe Experience Manager and other digital marketing products.
Production Coordinator- Gramercy,Live Nation,New York ,USA,onsite,,Advance technical and Hospitality details for shows/events along with the Production Manager.Must Ensure positive and creative environment for the Production…
"Music Publishing Partner Engineer, YouTube",YouTube,New York ,USA,onsite,,"Bachelor's degree in Computer Science or a related technical field or equivalent practical experience.Our team of Partner Technology Managers, Solutions…"
Digital Production Designer,MMI Agency,New York ,USA,onsite,,"Interpret project briefs and take initiative to ask clarifying questions if needed.Collaborate closely with art directors, designers and developers."
newTechnical Product Manager - Blockchain,"JPMorgan Chase Bank, N.A.",New York ,USA,onsite,,"The Blockchain Launch team leads efforts for Distributed Ledger Technology applications & Cryptocurrencies, actively developing blockchain use cases and in…"
newTechnical Writer,HDR,New York ,USA,onsite,,"Working with technical staff to develop content for qualifications, proposals, and reports, we’ll count on you to:"
"Implementation Specialist, Frame.io",Adobe,New York ,USA,onsite,,"Work in partnership with both Mid-Market and Strategic sales teams to drive understanding during the deal cycle, increase contract value through user adoption,…"
Television Media Design Specialist - Level II,The City University of New York (CUNY),New York ,USA,onsite,,Experienced installing technical systems in a broadcast environment.Use of technical drawings and documents to conduct diagnostics to restore failed systems.
"LN Concerts, Manager of PSS Ticket Operations",Live Nation,New York ,USA,onsite,,"Reporting to the Director of Ticket Operations, this role will be responsible for supporting key organizational priorities by leveraging the Ticketmaster…"
Sr. Software Engineer,Adobe,New York ,USA,onsite,,"Dive deep into difficult technical problems across the stack, those which can truly benefit from your expertise."
Ad Sales Systems Specialist,Spotify,New York ,USA,onsite,,Gather business requirements for improvement projects and synthesize them into technical specifications for Engineering to build.
"Senior HR Specialist, Freemium Mission",Spotify,New York ,USA,onsite,,"Provide HR support for a global technical organization, acting as the first point of contact for employees and managers.Partner with HR Business Partners."
"Sr. Motion Designer, Device Brand Studio",Amazon.com Services LLC,New York ,USA,onsite,,"Ability to mentor and teach younger artists, as well as help refine techniques and processes.Well-versed with technical terms, technologies, and hardware…"
Graphic Designer - Contract,Live Nation,New York ,USA,onsite,,Understanding of technical aspects of production design and asset delivery.Driven by the power of good design – you have a strong grasp of creative trends…
"Ad Ops Lead, Afterpay Ads",Square,New York ,USA,onsite,,"Afterpay is completely free for customers who pay on time – helping people spend responsibly without incurring interest, fees or extended debt."
Restorative Justice Manager (Full Time),S.O.U.L Sisters Leadership Collective,New York ,USA,onsite,,"Train new NYC-based interns and fellows, teaching artists, healing artists, keepers, facilitators and other practitioners on an introduction to restorative…"
Zendesk Administrator,TIDAL,New York ,USA,onsite,,The role is highly technical and requires a natural niche for driving solutions.You will collaborate to evaluate requirements and priorities to translate…
Restorative Justice Manager (Full Time),S.O.U.L Sisters Leadership Collective,New York ,USA,onsite,,"Train new NYC-based interns and fellows, teaching artists, healing artists, keepers, facilitators and other practitioners on an introduction to restorative…"
Zendesk Administrator,TIDAL,New York ,USA,onsite,,The role is highly technical and requires a natural niche for driving solutions.You will collaborate to evaluate requirements and priorities to translate…
Creative Director (Autodesk Flame),Company3/Method Studios,New York ,USA,onsite,,Great presentation skills and ability to work collaboratively with pipeline and technical teams in a fast-paced environment.
"Data Scientist, Square for Retail",Square,New York ,USA,onsite,,"Experience working with technical and non-technical partners, including creatives and product marketing managers.Python (pandas, scikit-learn, etc.)."
3D Tech Artist / Tools & Pipeline,Amazon.com Services LLC,New York ,USA,onsite,,The technical artist may be responsible for training artists in new production techniques and must ensure that those methods are scalable and compatible with…
Senior FX Artist,Company3/Method Studios,New York ,USA,onsite,,"That meet all technical and aesthetic standards for the project.You are proficient in shading and rendering techniques, ideally using both Mantra and Renderman…"
Analytics Engineer,Eko,New York ,USA,onsite,,"Be a go-to expert for complex technical analytics support.Build scalable data models, processes and tools atop our vast 1st & 3rd party data sources to enable…"
Associate – Brand Protection,Vivaldi Partners Group,New York ,USA,onsite,,"Provide research and analytical support on marketing, branding, and industry-specific analyses (e.g. market sizing, competitive analysis, ethnographic research …"
"Digital Strategy Associate, Transformation",Adobe,New York ,USA,onsite,,You will also partner with our technical teams to ensure a compelling vision and aspirational customer journey comes alive through technology demonstrations.
"RDDC NA VM Graphic Production, Associate",The Estée Lauder Companies,New York ,USA,onsite,,The NA brand aligned Graphic Production Artist role is to create artwork and mechanicals for NA Merchandising and Specialty Multi Channel.
Product Manager,Live Nation,New York ,USA,onsite,,"This person will define the strategy, identify gaps and ensure all relevant Ticketmaster/Live Nation operational and data capabilities are contributing to the…"
UX Designer,Microsoft,New York ,USA,onsite,,"As a UX designer, you will be responsible for delivering high-caliber user experiences spanning user research, usability testing, wireframe development, hi-fi…"
Junior UX Designer,Brilliant Experience,New York ,USA,onsite,,Brilliant Experience’s team works directly with clients to make research-driven and human-centered product and service design recommendations.
UX designer,InviteReferrals,New York ,USA,onsite,,Creative UI/UX designer. must have Photoshop skills html/css added…
Designer,The New York Times,New York ,USA,onsite,,"Our work takes many forms — reported articles, documentary videos, animations, photo essays, social posts, podcasts, interactive data visualizations, event…"
Product Designer - Corporate - IT - Hybrid Full Time,Mount Sinai,New York ,USA,onsite,,Demonstrated Leader: You have mentored other designers or created design systems.Build design systems and lead practices that will improve the productivity and…
newExperience Designer,Northwestern Mutual,New York ,USA,onsite,,"Collaborate with other designers, product owners, and technologists, and contribute to the larger design team through research, presentations, and internal…"
UI Designer,American Eagle Outfitters,New York ,USA,onsite,,"Create clean, elevated user-friendly interface designs that generate revenue through enhancing the shopping, loyalty, and checkout experiences for AE and Aerie…"
"Product Designer, Square Banking",Square,New York ,USA,onsite,,"A portfolio of work on which you were the primary designer, with moderate guidance from design leadership.You will report into a design team that works with…"
Product Designer,Duolingo,New York ,USA,onsite,,"Work collaboratively with other designers to develop and expand product design patterns.Work on the user experience across multiple Duolingo products, on…"
Junior Product Designer,Copilot,New York ,USA,onsite,,"Working closely with our product team and contributing to the product’s roadmap.➤ Develop design concepts that put our customers first, meeting their needs…"
newMultimedia Designer,Slack,New York ,USA,onsite,,The Sales Enablement Multimedia Designer is an exciting and challenging role requiring the ability to build digital content that supports the behavioral…
Web UX Designer,ACS Group,New York ,USA,onsite,,"3+ years’ experience as a full-stack product designer who utilizes a data-driven, human-centric approach to product design and development."
Product Designer Member,Bread Financial,New York ,USA,onsite,,"Leading, coaching, and/or mentoring of other designers.Create exemplary prototypes and experiences, both alone and with other designers and key stakeholders,…"
UX Designer,LT Technology Services,New York ,USA,onsite,,"Skilled in visual design with portfolio examples and prototypes.High skill level of various UX/design applications such as Figma / Sketch / InVision, Adobe…"
UX/CX Designer,Accenture,New York ,USA,onsite,,"Present research findings and design concepts to designers and product partners.You might be improving an existing feature, designing something totally brand…"
UI / UX Designer,Invonto,New York ,USA,onsite,,Must be a creative designer that can transform software requirements into intuitive user experiences.This is a direct-hire full-time remote working position.
"Staff Designer, Innovation",Visa,New York ,USA,onsite,,"In this role, you will focus on strategic design for products and services to create high-impact deliverables and lead engagements that help our clients drive…"
Production Designer,S&P Global,New York ,USA,onsite,,AutomotiveMastermind is seeking a technically proficient designer with a strong background in digital design for marketing communication.
UX Product Designer,ION,New York ,USA,onsite,,You will work in a customer-facing environment solving complex challenges.You will be responsible for every aspect of a system's user experience - the overall…
newAssociate Designer,Vimeo,New York ,USA,onsite,,You work well with others and can help other brand designers develop campaigns and find creative solutions.Work with the creative and marketing teams to design…
UX/UI Designer,Major League Baseball,New York ,USA,onsite,,"The Major League Baseball Games and VR Group designs, develops, and manages a portfolio of high-quality products including console and mobile games, real-time…"
UI/UX Designer,Accrete.AI,New York ,USA,onsite,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
Production Designer,S&P Global,New York ,USA,onsite,,AutomotiveMastermind is seeking a technically proficient designer with a strong background in digital design for marketing communication.
"newSenior UX Designer, Delivery Experience",Amazon.com Services LLC,New York ,USA,onsite,,"Bachelor's degree in design, human-computer interaction (HCI), or 4+ years of additional experience.Experience in a variety of design tools such as Sketch,…"
"newUX Design - Visual-Interaction Designer, Business Insights",U.S. Bank,New York ,USA,onsite,,Is extremely well-informed in market/competitive trends and in the core technologies of the products the team is building.
"newSr. Service Designer, Design Excellence, Design Excellence T...",Amazon.com Services LLC,New York ,USA,onsite,,Develop solutions and programs that elevate design and improve the employee experience for designers.Engage in global efforts to drive the implementation of…
"UX/UI Platform Designer, Wholesale",Ralph Lauren,New York ,USA,onsite,,You will develop responsive design systems for Ralph Lauren on our wholesale digital partners’ platforms – redefining and crafting experiences which deliver…
"newDesign Director, Digial & Social",PepsiCo,New York ,USA,onsite,,"The Design Director / Digital and Social, is a senior design leader responsible for the creative development, management and delivery of effective and…"
"Conversation Designer, Assistant",Facebook App,New York ,USA,onsite,,Give and solicit feedback from other designers in order to continually raise our bar for quality.You will be expected to utilize your full range of…
"CIB - Sr. UI Designer, Associate","JPMorgan Chase Bank, N.A.",New York ,USA,onsite,,"Our growing 200+ Digital Experience Design team (DXD) includes UX and visual designers, service designers, researchers and creative technologists spread across…"
