title,company,location,country,working model,salary,summary
Design Engineer (Local contract) - ACOEM,,Beijing,China,onsite,,"design general rules, etc… in order to develop optimized design... design or aircraft design..."
PA Design Engineer,,Beijing,China,onsite,,"design, verification and maintenance. What you will do Design... Carry out all design activities..."
最新FPGA Design Engineer,,Beijing,China,onsite,,Deliver design specification... algorithm design knowledge High speed digital design knowledge...
最新Manufacturing Design Engineer - Softgoods,,Beijing,China,onsite,,"Product DesignEngineering and Industrial Design to assess product... Engineering, Chemical Engineering..."
最新Software Engineer-Bing Team - All Levels,,Beijing,China,onsite,,"an engineer, you will play a critical role... team. You will need to understand the design, code..."
Hardware/ Design Engineer,,Beijing,China,onsite,,"Sourcing / Engineering for cost reduction ideas & drive productivity, support redesign electronic..."
最新SMTS Silicon Design Engineer,,Beijing,China,onsite,,join our team. SOC Design Verification Engineer THE ROLE: CDC RTG... engineer... work on design...
最新Software Engineer - McKinsey Digital,,Beijing,China,onsite,,"through design and development... engineering topics... system architecture, detailed design..."
最新MTS Silicon Design Engineer,,Beijing,China,onsite,,Design Verification Engineer - Performance THE ROLE: CDC RTG GPU SOC team is looking for DV engineer...
IP Subsystem Design Engineer,,Beijing,China,onsite,,"Design and Application Engineer... Architecture design, module design, test bench design, and test..."
Master Digital Design Engineer,,Beijing,China,onsite,,"design, architecture design, hardware design, software design... high-speed design and timing..."
Digital Design Engineer,,Beijing,China,onsite,,Digital DesignEngineer CITY... design is a big plus. • Experience in power management chip design...
Golang Engineer (Beijing),,Beijing,China,onsite,,strong Software Engineer to design and develop software for its... API Design & Implementation...
Mechanical Design Engineer,,Beijing,China,onsite,,design/产品架构设计 -Confirm that production design fulfills... 计开发 -Existing designs improved/现有...
Frontend Engineer,,Beijing,China,onsite,,"front-end engineers in China to promote engineering best practices... design, architecture, and design..."
Graduate Building Sustainability Engineer- BJ,,Beijing,China,onsite,,"countries, the firm’s designers, engineers, architects, planners... MEP for sustainable design..."
