,title,company,salary,summary
50,Associate – Credit Investments,Pennybacker Capital,,"We are looking for an enthusiastic, highly motivated, and team-oriented individual with a passion for identifying and solving complex problems and a drive for…"
51,"newAccount Manager, Life Sciences Startups","Amazon Web Services, Inc.",,"5-10 years of technology related sales or business development experience in the Life Science industry.Preferred location is New York City, however, location…"
52,newData Scientist,Nautilus Labs,,"For owner-operators, reliance on manually collected and analyzed data makes it difficult to optimize fleet performance in real-time."
53,Production Support - Data Science & Natural Language,Bank of America,,"The Production Support - Data Science & Natural Language role is the SME Application Subject Matter Expert in AI, Python, PODS, Azure and Ausonia application…"
54,"newGlobal Program Leader, Education and Workforce",IBM,,To think along with clients and sell.We are looking for a candidate who will be the Global Program Leader for our innovative Corporate Social Responsibility …
55,"VP, Assistant General Counsel - Investment Bank Data, Analyt...","JPMorgan Chase Bank, N.A.",,"The Corporate and Investment Bank's (CIB) Innovation, Data, Analytics and Artificial Intelligence (AI) team is seeking a talented attorney to assist with…"
56,"Capgemini Invent - 2022 Campus, Associate Consultant - Life...",Capgemini Invent,,"With its strong 50 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from…"
57,Project Execution,"JPMorgan Chase Bank, N.A.",,"The Strategy & Process Improvement team works within the CTO Strategy, Governance, and Execution office .The team provide strategic consultation for CTO to…"
58,R&D Modern Farmer,Bowery Farming,,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
59,"AI/ML - Machine Learning Researcher, Information Intelligenc...",Apple,,We are a group of engineers and researchers responsible for information intelligence at Apple.Demonstrated expertise in deep learning with publication record…
60,"AI/ML - Machine Learning Researcher, Information Intelligenc...",Apple,,We are a group of engineers and researchers responsible for information intelligence at Apple.Demonstrated expertise in deep learning with publication record…
61,newVP of Talent & HR,Accrete.AI,,Accrete was launched in 2017 on the back of over a decade of R&D pertaining to the problem of getting a machine to perform cognitive tasks accurately without…
62,Head of Model Risk,Pagaya Investments,,"We help partners grow their customer base while managing risk, all with a seamless customer experience.The Head of Model Risk is a key thought and business…"
63,"Assistant Director of AI Studio, Break Through Tech AI",Cornell University,,The Assistant Director of the AI Studio will learn from best practices for corporate engagement and curriculum-specific partnerships to customize and execute…
64,Product Support Specialist,FUJIFILM,,FUJIFILM Healthcare Americas Corporation is a leading innovator in diagnostic and enterprise imaging solutions designed to meet the evolving needs of healthcare…
65,AI Engineer - Hux,Deloitte,,"As an AI Engineer, you'll support the development and deployment of transformational AI capabilities for large clients."
66,"Developer Advocate, Emerging AI Solutions",Google,,"Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.Experience with software architecture, system design, and…"
67,Enterprise Account Executive - Retail - Tableau Analytics &...,Salesforce,,"With changing market forecasts and evolving customer requirements, retailers and wholesalers must turn to data to stay ahead of the curve, especially in this…"
68,Investor Relations Associate,Bessemer Trust Company,,"This role will work closely with a wide variety of internal teams including Client Advisors, Investment Research, Finance, Tax, Marketing, Legal and Compliance,…"
69,Applied Scientist,"Amazon Web Services, Inc.",,"PhD degree in computer science, operations research, statistics, engineering, or mathematics (or Masters with 5+ Years of experience)."
70,Vice President Strategy & Transformation,Barclays,,"This is a highly visible role where you’ll need to use your analytical skills, project management experience, and expertise in operational transformation to…"
71,AI/Data Scientist,Beckman Coulter Diagnostics,,The AI/Data Scientist role for Beckman Coulter Diagnostics is responsible for the design development and support of Artificial Intelligence (AI) systems…
72,Director-Client services,Virtusa,,"You will be responsible for driving new sales in Virtusa’s rapidly growing Technology, Media and Telecommunications (TMT) business."
73,"Visiting Researcher, AI Integrity",Facebook App,,The AI Information Retrieval (AIRS) team is looking to develop a knowledge index for integrity to detect and explain violations.
74,"AI Research Scientist, II",Sony AI America Inc.,,"In this role, the successful candidate will research, develop and deploy fair, transparent, and accountable technology for image processing and other business…"
