,title,company,location,salary,summary
70,"Technical Sourcer, Product",,"Washington, DC 20004 (Penn Quarter area)",,"Within the Product pillar, the teams hiring for Sourcers are: Product Design, Product Marketing, Data Science, Data Engineering, Content Strategy, Product…"
71,Quantum Qiskit Core Developer -- Qiskit Runtime (Location An...,,"Washington, DC 20001 (Swampoodle area)",,"Comfortable with collaborate software methodologies (code review, design docs, etc.).IBM Quantum is an industry first initiative to build universal quantum…"
72,Project Manager,,"Washington, DC",,Have responsibility for managing all aspects of multiple projects;Prepare strategic plans for project success;Five or more years of experience;
73,Survey Research Statistician,,"Hybrid remote in Washington, DC 20004",,"Proficiency in R, Python, STATA, SUDAAN and/or other statistical programs used to analyze data coming from complex survey designs preferred."
74,Request for Proposals: RESOLVE Network | Website Support and...,,"Washington, DC 20037 (Foggy Bottom area)",,"Website design updates: collaborate and assist RESOLVE staff with implementing requested design changes, adhering to RESOLVE standards and needs."
75,Policy Director,,"Washington, DC 20037 (Foggy Bottom area)",,"Build and maintain relationships with Congressional staffers, state commissioners and other policymakers, policy experts, advocates, and researchers to identify…"
76,Information Architect,,"Washington, DC",,"Demonstrated experience with data visualization or information design.Serves as a point of contact for annotators, researchers and translators when working…"
77,"Senior Program Manager, Design System (US Remote)",,"Remote in Washington, DC",,Provide samples of your design system work.Strong understanding of both UX/UI design disciplines.Ability to lead collaborative design sessions with UX and…
78,"Director, Product Design (Remote)",,"Remote in Washington, DC+1 location",,Work closely with user researchers and contribute to research strategies.Explain rationale for design decisions within a larger context.
79,"Director, Equity Strategy and Programming",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
80,Product Designer - Opportunity for Working Remotely Washingt...,,"Remote in Washington, DC",,Closely collaborate with a geographically diverse design team to co-design while ensuring consistency across the suite of products and services.
81,Product Manager - Manager - Remote,,"Remote in Washington, DC",,"Agile based, design-thinking, user-centric, empirical projects that accelerate results.Experience working with User Experience (UX) teams to create web and app…"
82,"Sr Manager, Technical Support",,"Washington, DC 20001 (Swampoodle area)",,Simple Access to Integrated Service Delivery: Unity Lab Services provides complete solution design and implementation for seamless laboratory service and…
83,"Managing Director, Student Parent Success Initiative",,"Washington, DC 20036 (Dupont Circle area)",,"Experience with multivariate statistical methods, survey research and/or qualitative research and design and analysis;"
84,Senior Product Designer,,"Washington, DC 20002 (Capitol Hill area)",,"You will rely on a full range of design skills from interaction design to product design to prototyping.Help create end-to-end design experiences, interaction…"
85,Research Technician III,,"Washington, DC 20010 (Catholic University area)",,"Collaborate with researchers and vendors to test or develop new imaging modalities.Works on independent projects - designs studies, collects and analyzes data,…"
86,Senior Program Associate II - Evaluation and Adaptive Learni...,,"Washington, DC 20036 (Downtown area)",,"Support and provide input into experiment design and impact analysis.Experience working within a multi-disciplinary team including researchers, analysts, and…"
87,"Product Manager, Revenue Cycle",,"Washington, DC",,"Translate business, market, and customer needs (collaborating with the Business Leads) into product strategy and requirements (e.g., functional and technical…"
88,Drug and Alcohol Counselor - Washington D.C. (remote & part-...,,"Remote in Washington, DC",,"Provide counseling to members on a weekly basis through text-based chat, video calls, and phone calls, to monitor their progress on their recovery journey."
89,"Director, Academic Engagement",,"Washington, DC 20006 (Foggy Bottom area)",,"Demonstrated knowledge and skill in the effective design and implementation of association, academic or higher education, or professional development programs."
90,Principal Investigator,,"Washington, DC",,"Examine therapeutic approaches by isobolic design and analysis framework using well-established and promising novel neuro-protective agents, stem-cell based…"
91,"newManager, Connected Schools XQ",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
92,Computational Genomics Specialist,,"Washington, DC",,"Document and manage collaborative and consultant assistance and training provided to researchers;Research, design, and deliver training materials, courses,…"
93,Sr Backend Engineer Quantum (Location Any),,"Washington, DC 20001 (Swampoodle area)",,Experience in systems architecture design (3+ years).A a back-end developer your responsibilities will range from low-level systems development to design and…
94,"Content Policy Manager, Stakeholder Engagement for Transpare...",,"Washington, DC+1 location",,"This function will also aim to build new programs, methods, and structures of engagement to educate stakeholders and bring our policy development process more…"
95,"Technical Sourcer, Product",,"Washington, DC 20004 (Penn Quarter area)",,"Within the Product pillar, the teams hiring for Sourcers are: Product Design, Product Marketing, Data Science, Data Engineering, Content Strategy, Product…"
96,"Conversation Designer, Assistant",,"Washington, DC",,"Product thinking and design experience in conversational and AI design spaces.You will be expected to utilize your full range of conversation design, product…"
97,Product Designer - Opportunity for Working Remotely Washingt...,,"Remote in Washington, DC",,Closely collaborate with a geographically diverse design team to co-design while ensuring consistency across the suite of products and services.
98,"Principal Product Manager - Technical, AWS Wickr",,"Washington, DC",,"Experience driving organizational strategy and solution-level design.Bachelor's degree or equivalent in Computer Science, Engineering, or a related field."
99,Project Manager,,"Washington, DC",,Have responsibility for managing all aspects of multiple projects;Prepare strategic plans for project success;Five or more years of experience;
100,Senior Software Developer,,"Hybrid remote in Washington, DC 20036",,"Engage and collaborate with business SMEs to understand business opportunities/pain points, and under the technical leadership of the Enterprise/Solution…"
101,"Senior Director, Product Design",,"Remote in Washington, DC",,"Drive cohesion of design and research initiatives across the product roadmap, infusing design thinking into developer platforms and API products."
102,Sr Research Associate,,"Washington, DC 20007 (Georgetown area)",,"Provides support and assistance for researchers, research infrastructure, financial management functions and capacity building activities in the Department of…"
103,Partner Solution Architect - Security,,"Washington, DC 20002 (Capitol Hill area)+1 location",,"5+ years as a security analyst, security engineer, security researcher, or other hands-on security role.You will work together with Splunk’s partner team on…"
104,Research Technician III,,"Washington, DC 20010 (Catholic University area)",,"Collaborate with researchers and vendors to test or develop new imaging modalities.Works on independent projects - designs studies, collects and analyzes data,…"
105,"Technical Program Manager - Facebook App, Privacy",,"Washington, DC",,"Experience applying user and influencer insight (analytics, research, experience design) to product/solution management & design within context defined above."
106,newMarketplace Intelligence Research Manager,,"Washington, DC",,Provide input in the design and content selection of research applications.The Audit & Assurance Marketplace Intelligence group (Marketplace Intelligence) is a…
107,"SR. CONSULTANT, PROJECT AND CONSTRUCTION MANAGEMENT RESEARCH",,"Remote in Washington, DC",,Prior experience in civil integrated management or related areas as a lead researcher or consultant.WSP is currently initiating a search for a Full-Time Senior…
108,"Conversation Designer, Assistant",,"Washington, DC",,"Product thinking and design experience in conversational and AI design spaces.You will be expected to utilize your full range of conversation design, product…"
109,Consumer Insights Manager - Health and Health Security,,"Washington, DC 20049 (Penn Quarter area)",,"Develops capacity by coaching and mentoring junior staff, participating in efforts to redesign workflow and systems, and providing peer review and technical…"
110,Senior Director of Communications and External Relations,,"Washington, DC 20002 (Capitol Hill area)",,This could also require commissioning new research and liaising with those researchers.The Council for Christian Colleges & Universities (CCCU) seeks an…
111,"Associate Director, Research Growth Strategy",,"Washington, DC 20036 (Downtown area)",,"Market-sizing, testing calls and product design analysis for new product launches.You will interact closely with colleagues in sales, marketing and account…"
112,newSenior Vice President of Research,,"Washington, DC 20036 (Dupont Circle area)",,Work with researchers to refine research priorities and issue areas;Ensures research staff are integrating racial equity and intersectional frameworks and…
113,Sr. Business Intelligence Developer (MicroStrategy),,"Washington, DC 20024 (Southwest Federal Center area)",,Experience with visualization design methodology.Experience with human-centered design.Coordinating with web development and visualization staff on best…
114,"Sr. Researcher, Machine Learning",,"Washington, DC 20005 (Logan Circle area)+2 locations",,"Takes action on existing specifications of designs and develops data pipelines consisting of data ingest, data validation, data cleaning and data monitoring."
115,UX/UI Strategist,,"Washington, DC",,"Experience supporting Museum or exhibit design.Knowledge of best practices for information architecture and interaction design, the user-centered design…"
116,"Senior Director, Product Design",,"Remote in Washington, DC",,"Drive cohesion of design and research initiatives across the product roadmap, infusing design thinking into developer platforms and API products."
117,Senior UX/UI Designer,,"Remote in Washington, DC 20036",,"Accessible design and ADA compliance implementation.A design specialist with a UX/UI focus Collaborating with other designers, web developers, researchers,…"
118,Interior Designer,,"Washington, DC",,3-5 years of experience in commercial interior design.Knowledge of contract furniture and workplace design is a must.
119,"Project Manager, US Government Research",,"Washington, DC 20001 (Swampoodle area)",,To think along with clients and sell.The Project Manager is responsible for managing multiple small to medium-sized Research projects funded by the US Federal…
120,Financial Engineer,,"Washington, DC",,"Ability to communicate with the modelling team (PhD researchers) regarding model limitations, issues, or potential enhancements.2+ years of related experience."
121,Mental Health Researcher,,"Washington, DC",,Perform scientific design and execution of evaluation studies.Assist with the design of research studies and provide scientific input into the research process…
122,Senior Software Engineer - Drupal,,"Remote in Washington, DC",,Bring expertise in design patterns and industry best-practices to the design and building of software.Participate in the design and evolution of the existing…
123,Sr. Member Of Technical Staff - Opportunity for Working Remo...,,"Remote in Washington, DC",,"Write design specifications and document your work.Deliver product features in a highly-scalable microservice environment, implemented on AWS."
124,"Manager, People Analytics - Skills Ecosystem",,"Washington, DC 20004 (Penn Quarter area)+3 locations",,"Understanding of advanced statistics and experimental design.Lead the AI Skills Ecosystem Team to design, build, evaluate, deploy and iterate on prototype…"
125,Research Data Analyst and Operations - Telecommute Considere...,,"Remote in Washington, DC 20001",,Collaborate with internal research team on study design.Support researchers in interpreting trends and analyses to draw relevant conclusions.
126,"Research Scientist, Systems and Infrastructure (PhD)",,"Washington, DC 20004 (Penn Quarter area)",,"The ideal candidate will have a keen interest in relevant engineering fields, such as (but not limited to) distributed software systems, storage systems, data…"
127,Container and Virtual Network Systems Administrator,,"Hybrid remote in Washington, DC",,Ensure performance and availability of the AI testbed infrastructure for multiple simultaneous researchers.Position is telework eligible for part of the work…
