,title,company,location,salary,summary
70,UX/Motion Designer (Contract),RUN Studios,"San Francisco, CA 94119 (Presidio Heights area)",,"RUN Studios and its client partner, a large online retailer headquartered in Seattle, are seeking an exceptional Motion and UX Designer with a passion for…"
71,Middle School Teacher (Father Sauer Academy at St. Ignatius...,ST. IGNATIUS COLLEGE PREPARATORY,"San Francisco, CA 94116 (Outer Sunset area)",,"Has strong instructional organization, proven classroom management skills, and willingness to engage with students who are new to a rigorous schedule."
72,Behavior & Education Specialist,The Salvation Army Western USA,"San Francisco, CA 94102 (Tenderloin area)",,Have a basic understanding of instructional methods and education curriculums.Possess an understanding of the effects of trauma on students and how to lead in…
73,Hourly Sign Language Interpreter (Hourly Interpreter/Realtim...,San Francisco State University,"San Francisco, CA 94132 (Lakeshore area)",,"Settings include, but are not limited to the classroom, student-teacher meetings, and/or other academic, instructional, administrative meetings, or public…"
74,"Nursing-Registered (Medical-Surgical Nursing) Instructor, (F...",City College of San Francisco,"San Francisco, CA 94112 (West Portal area)",,Meet weekly with the lead instructor to discuss and plan ongoing course work and student performance.Initial salary placement is based on verified and accepted…
75,"Senior Manager, Global Education, Fenty Skin",Kendo Holdings,"San Francisco, CA",,"Strong Project Management skill set with managing multiple workstreams simultaneously with great success; able to prioritize, lead and manage projects in a fast…"
76,Visual Arts/Multimedia Teacher,Lick-Wilmerding High School,"San Francisco, CA 94112 (Outer Mission area)+1 location",,Teach the phases of video production and lead students to create their own creative work in teams and individually.Teach knowledge of Photos and iMovie.
77,Middle School Science Teacher (2022-2023),Gateway Middle School,"San Francisco, CA 94115 (Western Addition area)",,A small school where all students are known well and supported to achieve at high levels.A staff who is committed to serving the whole child so that they…
78,"Associate, Learning Transformation HCA",KPMG,"San Francisco, CA 94105 (Financial District/South Beach area)",,Minimum one years of recent relevant work experience related to Learning & Development consulting including instructional design and talent development;…
79,"Associate Director, Audit Learning & Development Global (CPA...",KPMG,"San Francisco, CA 94105 (Financial District/South Beach area)",,"Collaborate with managers, instructional designers and GSC product teams to design and develop the learning solutions, from needs analysis to deployment and…"
80,Middle School Math Teacher,San Francisco Friends,"San Francisco, CA 94103 (Mission area)",,Candidates should have a strong math background and be invested in collaborating with colleagues and working closely with students.
