,title,company,salary,summary
16,Customer Data Engineer,Matrixian Group,€25 per uur,"Collaborate with domain experts, analysts and data scientists to solve data challenges.Knowledge of data modeling and data warehousing concepts."
17,Data Management and Governance Analyst,Accenture,,Building the data management and governance foundation.Ability to translate business requirements into data solutions.
18,nieuwInformatie Analist,Gemeente Amsterdam,€4.109 per maand,Analyseren van informatie voor het beantwoorden van handhavingsvraagstukken.Zorgen dat iedereen in Amsterdam zich veilig en vrij kan voelen.
19,DATA ANALYST,de Bijenkorf,,"Je werkt nauw samen met email en CRM marketeers, data scientisten en online data analisten.Monitoren data pipeline, verzending executies en levering van emails…"
20,Solution Analyst - Global Energy Perspectives,McKinsey & Company,,"You will deepen your global energy markets expertise and based on your knowledge, you will increasingly become the 'go-to' person in your content area,…"
21,"nieuwStructuring Analyst, Vattenfall",Vattenfall,,"Support Front Office with ad-hoc analysis and derive insights from data.Academic degree of a relevant mathematical discipline, such as engineering, mathematics…"
22,International Trainee - Recruitment Data Analyst,Vattenfall,,You will analyse recruitment data flows and provide insights regarding candidates and recruitment.Together you will work hard to ensure the best service and…
23,Jr. Pricing & Data Analyst,Travix International,,"At least 1 year of experience in an analytical and/or data analysis role.You will also be responsible for market analytics, forecasting and other ad hoc…"
24,Data Analyst,ING,,Ben je verslaafd aan data.Je identificeert nieuwe data en analytics gerelateerde kansen.Je maakt uiterst persoonlijke en relevante klantinteracties mogelijk…
25,nieuwData Analyst - Accommodations,Booking.Com,,"Experience in data management, data visualization and quality.Be familiar with the larger data ecosystem at Booking and how it relates to your data and the…"
26,nieuwLead Analyst Digital,albert-heijn,€70.000 - €87.000 per jaar,"Aantoonbare ervaring met statistisch modelleren, data analyse en data visualisatie;Als Lead Analyst neem jij het voortouw in het spotten van kansen op basis…"
27,Data Security Analyst,Booking.Com,,"Transform data into insights, to identify and quantify opportunities to reduce instances of data leakage.You are able to craft and run queries to get relevant…"
28,Business Analyst - Subscription service,Scribbr,€3.000 - €4.000 per maand,"*Conduct data analysis* to gather relevant insights, make recommendations and support internal decision making.*Start- or scale-up experience* is a major plus."
29,Data Analyst,SwipeGuide,,"At least 5 years of experience as a data analyst, business analyst, BI analyst, or related role.Providing technical expertise in data storage structures, data…"
30,nieuwData analist 'Hartcentrum',Amsterdam UMC,,"Als data analist binnen ons hartcentrum heb jij vooral een passie voor de zorg.Als data-analist werk je voor en op beide locaties, en afhankelijk van de…"
31,Data Analist,Simon Loos,,Het belang van data analyse vormt namelijk een steeds groter component in de aansturing van logistieke processen.Ervaring met planningspakketten en BI tools;
32,Senior Data Insights Analyst,Θέσεις Εργασίας,,"The Data team comprises analysts, applied scientists, and engineers with a mandate to enable all corners of the company to exploit data models & customer…"
33,Data Scientist,Optiver,,Perhaps you'll develop machine learning-based strategies using historical data.The ability to present complex ideas with data to expedite decision making.
34,Data Analyst - Financial Services,Mollie,,"As an Analyst in the Financial Services domain, you will be responsible for using data to drive the performance of our existing and future products."
35,Junior Financial Analyst,Walters People,,Collect and analyse data and organise data in a comprehensive database.Direct contact with stakeholders: outlining data cleansing and manage expectations.
36,nieuwJunior Business Analyst,Global Internal Job Board,,"If you are able to turn data findings into insights and identify fact based opportunities, if you have at least 2 years of experience as a business analyst or…"
37,Business and Data Analyst - Hospitality and Leisure,COREcruitment,,Experience in global tourism markets / market data required.Ability to consider data from a real guest perspective.Ability to communicate at all levels.
38,"Data analyst, Intern",Prologis,,Demonstrated ability and interest in data analytics.Learn to acquire data from Cloud sources.Upgrade a recurring report by automating the data processes.
39,Jr. Pricing & Data Analyst,Travix,,"At least 1 year of experience in an analytical and/or data analysis role.You will also be responsible for market analytics, forecasting and other ad hoc…"
40,Lead Data Analyst,Otrium,,"You will identify & resolve technical, performance and data issues with the DWH together with our BI/data engineers."
41,Operations Data Analyst,VanMoof,,You’ll be responsible for providing data-driven insights and understanding the inner workings of our operation.2-4 years of relevant experience.
42,nieuwData-analist.,YoungCapital,€2.500 - €3.000 per maand,Word data-analist in Amsterdam.Je zult starten als fulltime data-analist en daar ben jij verantwoordelijk voor het analyseren en vertalen van de data naar…
43,Data Science Intern,Atradius,,Knowledge of SQL for data query.Has a 'storytelling' ability through data to translate results into actionable insights and/or interventions.
44,Financial Data Analyst,Adyen,,SQL experience and ability to gather and manipulate data is a must.Use quick insight and data management skills to quickly respond to ad hoc enquiries from the…
45,nieuwData analist 'Hartcentrum',Amsterdam UMC,,"Als data analist binnen ons hartcentrum heb jij vooral een passie voor de zorg.Als data-analist werk je voor en op beide locaties, en afhankelijk van de…"
46,Data Analyst,Lemonade Insurance Company,,"Our ideal candidate is adept at modeling complex data, uncovering patterns, and delivering data-driven insights."
47,Lead Data Analyst,Otrium,,"You will identify & resolve technical, performance and data issues with the DWH together with our BI/data engineers."
48,financieel analist,HVC,€3.802 - €5.721 per maand,"Jij gaat dan ook mede richting geven om dit te bewerkstelligen door objectieve data, feiten en modellen te genereren."
49,BI Analyst,Heineken,,Working closely with the Core Data and Technology workstreams on fit-for-purpose data models and technology solutions to enable the workstream deliverables.
50,Data Security Analyst,Booking.Com,,"Transform data into insights, to identify and quantify opportunities to reduce instances of data leakage.You are able to craft and run queries to get relevant…"
51,nieuwReporting Analyst - PPC,Booking.Com,,"Knowledge and experience on data analysis, data visualization and data collection.Familiarity with the larger data ecosystem at Booking and understanding of…"
52,Middle Office Analyst,Optiver,,"Ability to handle data efficiently (e.g. through querying languages SQL, Postgresql);The MidOffice team supports our traders resolving issues with our clearing…"
