,title,company,salary,summary
102,Business Analist / Data Scientist,Holland Casino,€5.725 per maand,"Jouw (drie) beeldschermen staan voor je klaar in ons ambitieuze, enthousiaste data analytics team.Pro-actief op zoek gaan naar nieuwe methoden en data…"
103,data engineer,citizenM,,"Demonstrated strength in data modeling, ETL development, MLOps, data warehousing, data pipeline and data lake creation, preferably in the Azure data stack …"
104,Back End Developer,Quin,€85.000 per jaar,"Relocation assistance from start to finish.Help us build the future of healthcare.No small feat, because we need to develop a ‘brainy’ (AI-driven) app that…"
105,nieuwSenior Data Engineer,Mollie,,"You will support our software developers, data analysts, and data scientists on data initiatives and will create standardized blueprints to enable them to…"
106,"(Senior) Data Scientist, Customer Domain, Group Digital, Ing...",IKEA,,Have experience in developing data and statistics-driven solutions for real-life business problems.We are using data and analytics within cross-functional…
107,Research analist immunologie,UMC Utrecht,€3.355 per maand,"Je komt terecht in een team van ervaren analisten, data-scientists en postdocs.Om ons team te versterken zoeken wij een HLO research analist met bij voorkeur…"
108,Data engineer (SQL / Python / AWS / Paas),Apollo IT,,Make sure all data is delivered to the data scientists in a way it can be handled smoothly.You deal with 1+ billion rows of data.
109,Postdoc position Assessing mental workload in athletes,Vrije Universiteit Amsterdam,€4.474 per maand,"Peter Beek, a human movement scientist, Prof.Mission statement: to provide innovative tools for behaviour, health & well-being: from data collection to…"
110,Postdoc position on 'Modelling water quality Ganges/Brahmapu...,Universiteit Utrecht,€3.282 - €3.821 per maand,This ambition motivates our scientists in executing their leading research and inspiring teaching.The department hosts a highly international tenured staff of…
111,Junior Data Engineer – (Utrecht or Munich),IG&H Consulting & Interim,,You will work in our inspiring and enthusiastic Data & Analytics team with experienced data scientists and engineers who will help you level-up your technical…
112,BI Ontwikkelaar \ Data Scientist,Alrijne Zorggroep,€4.798 per maand,"Dus help jij mee om onze organisatie meer ‘data driven’ te maken?Ben jij onze nieuwe BI Ontwikkelaar \ Data Scientist voor de afdeling Business Intelligence,…"
113,nieuwPhD on the Physical Limits to Global Groundwater Use,Universiteit Utrecht,€2.434 per maand,This ambition motivates our scientists in executing their leading research and inspiring teaching.The HYGS will use a novel combination of new and existing…
114,Postdoc position on salt intrusion in deltas,Universiteit Utrecht,€2.846 - €4.490 per maand,Excellent skills in scientific programming and numerical / statistical analysis of simulated and observed data.In this project you will:
115,Stage data science (afstuderen mogelijk),Berenschot,,"Het laden van data in data stacks, het transformeren van data en het analyseren en ontsluiten van data.Ondersteunen bij het laden van data in data stacks, het…"
116,Junior Copywriter,Accenture,,"Met een internationaal team van UX-designers, data scientists en creatievelingen werk je aan innovatieve end-to-end projecten om de blueprint van onze klanten…"
117,Data Scientist / Insights Manager,DSM,,"Experience in applying FAIR data management, data engineering, data mining, data visualization, machine learning, artificial intelligence."
118,PhD-kandidaat Data Science voor Preventie Hart- en Vaatziekt...,LUMC,€3.271 per maand,"Dit ga je doen in samenwerking met andere onderzoekers, data scientists, huisartsen en medisch specialisten.Jouw rol is om voorspellingsmodellen te ontwikkelen…"
119,Research scientist T cell engineering,Gadeta,,"Ability to interpret, troubleshoot and report complex data (E).Gadeta is a clinical stage biotechnology company developing first-in-class cellular…"
120,Research analist immunologie,UMC Utrecht,€3.355 per maand,Als research analist voer je innovatief onderzoek uit met tubuloid-organoids waarbij wordt onderzocht in hoeverre deze zich kunnen beschermen tegen…
121,Data Engineer,Adyen,,Superb knowledge of Map-Reduce concepts and relevant data modeling.Pragmatically approach creation of new data pipelines or extending the existing ones.
122,Senior Data Scientist,Independer,,Jij als Senior Data Scientist helpt ons bij het optimaal inzetten van deze data.Je neemt je collega’s mee in het continu verbeteren van onze algoritmes en…
123,Junior Data Analyst - Data Scientist,Joep at Work,,Our client is recruiting a talented data analyst who can easily extract actionable insights from data and is eager to help us to implement our data analytics &…
124,Sr. Research Scientist - Evidence Synthesis (Health Economic...,Precision Medicine Group,,"Multivariate network meta‐analysis of survival function parameters.Toor K, Middleton MR, Chan K, et al.Comparative efficacy and safety of adjuvant nivolumab…"
125,Data Scientist,Capgemini,,"Ontwikkelen van (technische) data science oplossingen welke waarde toevoegen voor de business;Uitstekende beheersing van Python en R, aangevuld met andere…"
126,Traineeship Data science,House of Bèta,€2.726 per maand,"Betaald data science studeren dus, mét professionele begeleiding en mooie praktijkopdrachten.Binnen het Traineeship Data Science is alles erop gericht je snel…"
127,Bioinformatician / Data engineer for data-integration in onc...,NKI-AVL,€36 per uur,Biobank systems and data models.We are looking for a bioinformatician or a data engineer with a strong interest in software development & operations (DevOps)…
128,nieuwData Analyst Logistieke Innovatie,Bol.com,€3.500 - €5.000 per maand,"Je wordt blij van het werken met grote bakken data in bijvoorbeeld SQL, Google Big Query en eventueel andere tooling."
129,Data Scientist,Mediq,,"Verzamelen, beoordelen en prepareren van data(sets).Kennis van en ervaring met econometrische modelleertechnieken, data mining algoritmes, optimization…"
130,nieuwRisk Data (Senior) Consultant,Deloitte,,"Data storytelling om inzichten uit data uit te leggen aan de klant;Meer specifiek word je de schakel tussen data scientists, modelleurs en software engineers…"
131,Medior Data Scientist,Rabobank,"€45,23 - €64,61 per uur",As a data scientists at Rabobank you will build advanced analytics products to support the bank and its clients.Working with billions of records of data.
132,Senior Data Scientist,Orange Quarter,,Ability to connect stakeholders together with a product team and deliver business value from a data solution.You will be setting up experiments and models from…
