,title,company,salary,summary
74,Data Architect,Atradius,,"Demonstrable knowledge of data architecture, data design techniques and various data platform solutions.Guide engineers and external partners on following the…"
75,International Trainee - Data Scientist,Vattenfall,,The sub-team you will be working in consists of data scientists and data engineers with a strong knowledge of our customers and the energy market.
76,Data Scientists - FinTech - 100% Remote,Inter Quest Talent Solutions,€40.000 - €80.000 per jaar,"Fill the gaps in the data to make right assumptions about the data.As a data scientist, you ‘re working in a team of engineers, product managers and scientists…"
77,Senior Data Engineer,Independer,,"Optimalisatie van slimme data oplossingen – Dit gaat bijvoorbeeld om oplossingen om data op klantniveau op allerlei manieren samen te kunnen brengen, maar ook…"
78,Network Reliability Engineer (Backbone team),Veepee,,"At least 3 years of experience as a system and network engineer;Their main areas of intervention are internet connectivity, MPLS L3&L2 transport across all…"
79,nieuwJunior Frontend Engineer,Secfi,,"Collaborate with back-end engineers in architecting and consuming APIs.Use experiments, data and user feedback to improve our web-application to be fast, easy…"
80,Data engineer (SQL / Python / AWS / Paas),Apollo IT,,2+ years of experience as a data engineer in a complex and innovative environment.You deal with 1+ billion rows of data.You develop with Python and SQL.
81,Maintenance Engineer,Timesource,€65.000 per jaar,Ervaring als maintenance engineer in een technische werkomgeving.Installaties worden onderzocht met data analyse en technisch inhoudelijke analyses zoals RCA…
82,Data Engineer,Darwin Recruitment,€60.000 - €80.000 per jaar,Translating business logic and ideas into manageable data architecture with data governance as an integral part of the design.
83,"Program Manager, Design Field Integration and Assembly",Google,,Understanding of data center design and build.Manage data and design changes to products through MES for design and construction software.
84,Data Engineer Internship - Amsterdam 2022,Amzn Dev Ctr (Netherlands) B.V,,"Monitor and troubleshoot operational or data issues in the data pipelines.Experience with data mining, data warehouse solutions, and ETL."
85,DATA ENGINEER,Harnham,€60.000 - €70.000 per jaar,"Be able to communicate and collaborate with other data engineers, data analysts, and non-technical stakeholders."
86,nieuwData Engineer,Search X Recruitment,€50.000 - €65.000 per jaar,"Of course, someone will have to develop those models and data pipelines first.And when that data model is developed and starts producing results, someone will…"
87,Regional Head of Data Center Public Affairs,Google,,Experience with working in Europe in the data center industry.Bachelor’s degree or equivalent practical experience.
88,Data Security Engineer,ITSync,,Experience with solutions/data engineering in a security operations environment.Thus improving the security of ING by making sure external data is leveraged…
89,Network Engineer,Optiver,,"Build new connectivity between our data centers.Optiver's bespoke infrastructure requires diverse network engineering experience: from low-latency, data centre…"
90,Data Engineer,amsterdam&partners,,"Je zet ruwe data om in waardevolle data-subsets voor onze analisten;Je houdt je onder andere bezig met het beheer van onze data warehouse, databases en data…"
91,Data Center Services Engineer,Kyndryl,,"If you have applied for an IBM role previously, you will be able to log into the candidate zone using your previous IBM log in details."
92,Engineer AVEVA AIM & Data Structuring,Cognizant Technology Solutions,,"You must be able to do the data structuring, tag management and should be able to integrate the Engineering data in AVEVA AIM.25 days of paid holiday per year."
93,Data Engineer (12 month FTC),Abcam,,Build and maintain data sources for data visualisation tools and educate and support business users to self-service their reporting needs.
94,Regional Head of Data Center Public Affairs,Google,,Experience with working in Europe in the data center industry.Bachelor’s degree or equivalent practical experience.
95,Data Scientists - FinTech - 100% Remote,Inter Quest Talent Solutions,€40.000 - €80.000 per jaar,"Fill the gaps in the data to make right assumptions about the data.As a data scientist, you ‘re working in a team of engineers, product managers and scientists…"
96,Data Engineer Consultant,Accenture,,"3+ years of professional experience in creating and maintaining data pipeline architectures, identify data related process improvements and build tools that…"
97,Data Engineer,Sentia,,Are you the one that creates the needed scripts and API calls to gather the data into a data lake; and builds report or dashboards to help out your colleagues?
98,Data Engineer,Sam Media,,Work with data analysts and data scientists to strive for greater functionality of our data systems.Improve our data ingestion platforms.
99,Business Solution Engineer,APG,€7.223 per maand,"Sterke affiniteit met data visualisatie en analyse tooling zoals Python, R, Alteryx en Qlik Sense.Met meer dan 600 miljard Euro die Assets Management onder…"
100,Logistics Data Program Manager,Google,,Develop and execute root cause remediation strategies for data issues.Resolve process and data issues for the organization and partners.
101,data engineer,citizenM,,"Demonstrated strength in data modeling, ETL development, MLOps, data warehousing, data pipeline and data lake creation, preferably in the Azure data stack …"
102,nieuwJunior Frontend Engineer,Secfi,,"Collaborate with back-end engineers in architecting and consuming APIs.Use experiments, data and user feedback to improve our web-application to be fast, easy…"
103,Material Master Data Specialist,EVBox,,Ensure data integrity by developing and executing necessary processes and controls around the flow of data.You will work on to set up material master data in…
104,nieuwNOC Engineer,Castor Networks,,"As a NOC Engineer you monitor and manage all production systems and services, taking steps to improve performance, reliability or uptime."
105,Junior Data Warehouse Engineer,Just eat Takeaway.com,,"1+ year experience in handling big data pipelines, data warehouses or other (preferably distributed) data stores."
106,Group Data Engineer,Stage Entertainment,,"Act as point of contact with other data-oriented functions (e.g., CRM, digital marketing) to share data and ensure campaign response data is being socialized…"
107,Data Engineer,Building Heroes,,Je hebt interesse in data en programmeren;Je werkt afhankelijk van je ambitie ook aan het bouwen van het hiervoor beste systeem wat bij deze processen…
108,Data Engineer,Heineken,,"Het onderhouden en ontwikkelen van data platforms, datastromen, informatieproducten en andere data solutions.Je bent 40 uur per week beschikbaar."
109,Senior Data Engineer,WeTransfer,,"Design reliable data ingestion and transform pipelines that can handle large data volumes.Build and maintain our observability data stack, so data is delivered…"
110,Data Engineer,Rabobank,€38.532 - €63.648 per jaar,Het naar productie brengen van data en analytics producten.In het projectteam denk je mee over data architectuur vraagstukken en help je bij het ontwerpen van…
111,nieuwProduct Owner Data,Decathlon,,"Translating those business questions into concrete and workable data-solutions, such as dashboards or forecasting models, is the starting point for the rest of…"
112,Dé ICT baan voor starters,APG,€3.250 per maand,"Als startend ICT’er krijg je dan ook uitdagende werkzaamheden; van Testing tot Cloud services, van support tot architectuur."
113,Data Engineer (met Cloud ervaring),Omoda,,Samen met 4 collega’s werk je er dagelijks aan om inzichten uit de data te krijgen.Een werkplek in onze data hub in Amsterdam en/of het HQ in Zierikzee.
114,"Technical Program Manager, Data Center Construction",Google,,"The Data Center Delivery and Engineering team is a collection of architectural design experts, mechanical engineers, electrical engineers, construction project…"
115,Data Engineer,Blue Harvest,,Experience with cloud-based data services.Exposure to data quality frameworks and error management.Knowledge of Metadata concepts and Metadata-driven data…
116,Security Engineer,Orange Cyberdefense Nederland,,"Ervaring op één of meer van de volgende gebieden: NGFW and secure application delivery, campus en datacenter networking, cloud security, endpoint protection,…"
117,Electrical Engineer,PARKEAGLE,,You will work with other hardware and software engineers throughout the software development lifecycle.Parkeagle is looking for an Electrical Engineer to fill…
118,Senior Data Engineer,Tiqets,,"Take ownership of large production data systems to support a variety of growing data needs.Deep knowledge of SQL fundamentals, and solid understanding of best…"
119,Senior Data Engineer,Independer,,"Optimalisatie van slimme data oplossingen – Dit gaat bijvoorbeeld om oplossingen om data op klantniveau op allerlei manieren samen te kunnen brengen, maar ook…"
120,"Customer Engineer, Data Analytics (Part-time)",Google,,"Experience with analytic warehouse solutions and data movement from data stores into analytic warehouses.Experience developing data warehousing, data lakes,…"
121,Technical Project Manager,Disney Streaming,,"Excellent communication and data presentation skills, including an ability to effectively communicate with both business and technical teams."
122,Senior Artificial Intelligence Engineer / Data scientist,ABN AMRO Bank,,"Our AI developers are multi-skilled and have strong machine learning, system design and coding skills that they put to use within the context of AI."
123,nieuwReliability Engineer,Givaudan,,Analyzing: with your excellent SAP and Excel skills you collect and analyze reliability performance data in order to prioritize maintenance and investments.
124,nieuwInfrastructure Solution Engineer,ViaSat,,"Knowledge of data center structured cabling and rack elevations.The primary role will be to design, plan and lead integration efforts in an automation first…"
125,Data Scientist - QuantumBlack,McKinsey & Company,,You will work on the frameworks and libraries that our teams of data scientists and data engineers use to progress from data to impact.
126,Data Platforms Devops Engineer,Liberty Global,,"Integrate new data sources as well as support existing integrations on data stream platforms.Participate in the design, development and support of a real time…"
127,Data Engineer (m/v) 362,Greenmonkeys,€2.500 - €4.500 per maand,"Je rol is hierin breed, maar primair gericht op data.Voor een innoverende opdrachtgever in Hilversum zoekt Greenmonkeys B.V. een Data Engineer (m/v).*."
128,Data Engineer,Heineken,,"Het onderhouden en ontwikkelen van data platforms, datastromen, informatieproducten en andere data solutions.Je bent 40 uur per week beschikbaar."
129,Identity and Access Management Engineer,Optiver,,"No two days are the same as you will fix a variety of incidents, solve ad-hoc technical problems, monitor performance and manage data reliant systems that are…"
130,System and Network Engineer,BlockTech,,"Work closely with our traders, engineers and quantitative developers to identify and solve issues that arise;Replace laptops, desktops and phones;"
131,Cloud Engineer Azure,Rabobank,€3.259 - €6.417 per maand,"Building cloud components, designing solutions or working on automation.Growing your knowledge on the complete technology stack (network, security, containers,…"
132,Threat Intelligence Engineer,Infoblox,,"Coding and data skills such as Python, data analysis and statistics, use of notebooks (Jupyter, Databricks).Use statistics, and scripting in python and pyspark…"
133,Senior Product Owner Data Science (Operations),Albert Heijn,€76.000 - €95.000 per jaar,"Jij staat daarbij als Senior Data Science Product Owner aan het front van (meerdere) team(s) bestaande uit data analisten, data scientists, data engineers en…"
